i,j,vx,vy
119,17,0.0473962,-0.00743874
186,140,-0.0575098,-0.0284329
125,39,-0.0707797,-0.0347143
108,155,0.0533476,-0.0362772
53,195,-0.060206,0.0520334
182,215,0.0424008,0.0192961
46,56,-0.180886,-0.0332791
30,126,-0.00907435,-0.0156795
223,7,-0.0437085,0.0194968
90,182,0.0543642,-0.0481603
73,28,-0.0462711,0.0205999
33,176,-0.0179836,0.0473023
0,206,0.00160746,-0.0255397
59,224,0,0
127,37,-0.152245,0.0483092
114,174,0.0572678,0.0808204
5,191,-0.0318079,0.0605217
197,82,0.0188725,0.00593947
26,-1,-0.0137503,0.0157225
135,20,0.062989,0.0437291
210,150,0.0467834,-0.0287373
68,18,-0.0208936,0.0110606
134,0,-0.110127,-0.0562498
113,61,-0.0685772,-0.0760266
121,104,0.00343186,-0.0276311
42,192,-0.0691909,0.024185
153,165,-0.0140589,-0.0642781
186,116,-0.0928199,-0.00510104
78,122,0.0222018,-0.136215
100,189,0.0465984,0.0316265
71,113,-0.0578461,0.0450574
117,182,0.0919999,0.000276741
221,124,-0.0281382,0.0978283
113,156,0.0215654,-0.0768657
96,115,-0.131552,0.0394634
156,92,0.0157535,-0.0292573
194,68,-0.0915791,-0.0680062
84,148,0.10476,-0.17603
43,168,0.0489368,0.0369577
55,164,-0.0254803,-0.0205644
77,68,0.0352799,0.00842144
47,166,0.0832483,0.095519
88,186,0.0596201,-0.0374845
33,86,-0.00403625,-0.0258086
178,101,-0.0508759,-0.0303057
84,70,0.035048,0.0261126
120,186,0.0535281,-0.0682146
144,60,-0.15295,-0.130975
173,39,0.104939,0.0579049
31,183,-0.0640859,-0.0825064
168,0,-0.150982,-0.101666
162,-1,-0.0133162,-0.0105847
204,151,0.0726163,0.046584
74,188,0.00750223,-0.00019702
30,59,-0.0915805,-0.0124604
176,9,0.0172726,-0.110881
176,83,-0.0273036,-0.0402979
6,29,0.0520226,0.0457799
46,93,-0.0375267,-0.0463003
189,7,-0.0619361,0.0449058
163,48,-0.0156672,0.0373473
159,68,-0.0686908,-0.0235948
27,119,0.0558868,-0.0802921
34,221,0.0374626,-0.0676453
19,224,0,0
50,132,0.0144107,0.0339831
57,62,0.036733,-0.0767037
181,224,0,0
5,12,-0.0409842,0.130202
200,140,-0.0267273,-0.0532367
-1,146,-0.00393778,-0.0542304
155,105,0.0991894,0.144616
214,188,-0.0086688,-0.0270098
210,49,-0.0417825,-0.0721655
215,162,-0.0752105,-0.0393207
51,196,-0.0616894,-0.0100185
219,2,0.00762491,0.0601282
15,197,0.0522868,0.0267646
213,150,0.0717967,-0.0632678
122,98,0.0610353,-0.0685385
162,178,0.0719739,0.0620041
99,145,-0.0438692,0.00416243
-1,4,-0.0348311,-0.0230467
47,106,-0.0342829,-0.00889496
65,-1,-0.0237902,-0.00337274
7,218,-0.133887,-0.0736845
12,78,0.0231213,-0.0272266
211,201,0.105019,0.0348182
49,63,-0.0318388,-0.0590137
117,49,0.0155741,-0.00165355
154,136,0.0444825,-0.057845
5,200,-0.0617225,-0.000281535
212,70,-0.0528975,0.0306851
158,173,-0.0162827,0.0118483
210,211,-0.0694481,-0.00840814
61,157,-0.139664,-0.0250976
222,124,-0.0254636,0.0228495
26,33,-0.0122541,0.0348961
195,210,-0.131986,0.0259743
213,183,-0.0261137,-0.0284219
47,197,0.0316085,-0.0597954
173,219,0.00473846,0.0542566
168,26,0.00755679,-0.0780043
72,65,0.0459847,-0.0410345
202,132,-0.0886132,0.0741798
108,153,-0.0221517,0.000834827
12,83,0.0423415,-0.0783816
84,173,-0.0304071,-0.0716264
7,49,0.0628265,0.0679478
51,121,0.0532646,0.0488938
201,34,0.010143,0.0507768
78,188,-0.0268504,0.0198738
86,21,-0.0181267,-0.0334298
145,207,0.0336749,0.0068594
215,91,0.0234009,-0.0592004
223,200,0.00596963,0.0281676
7,162,0.0511594,0.0848053
201,-1,0.00762932,-0.0156664
180,66,-0.0144807,0.0371523
144,2,0.121259,-0.0300817
41,43,0.108509,0.0734094
206,152,-0.0231307,-0.155346
-1,29,0.00922602,-0.0776641
88,32,0.00712807,-0.0515437
174,108,0.0363434,0.0584792
-1,85,0.0463663,-0.0794816
88,43,-0.123807,0.0588288
187,201,0.0777746,-0.028495
140,96,0.0110639,0.0372741
158,66,0.00135054,0.0313143
42,27,0.018223,0.0417264
75,50,0.0298801,-0.060274
92,25,-0.0246834,-0.0184922
186,200,0.0111402,0.00917978
7,195,-0.00322987,0.0178373
165,205,-0.0105548,-0.0606749
59,38,0.010778,0.143631
143,1,0.0598582,-0.0710769
173,113,-0.0144564,-0.0768298
208,170,-0.0767103,0.0132439
4,38,0.040663,0.00540768
5,58,-0.0215556,0.00473695
20,217,-0.0202919,0.0840498
113,186,0.0552259,-0.0613489
213,37,-0.018047,0.0571501
191,28,-0.0320582,-0.00106198
223,11,-0.0228424,0.111808
178,73,-0.0134827,-0.041373
112,203,-0.0886721,0.00181623
188,17,-0.112314,-0.0461743
114,-1,-0.0493349,-0.0023525
174,8,0.0818832,0.07879
42,51,0.00212518,-0.107329
72,96,0.00845008,0.0140861
126,197,-0.144916,-0.027991
137,120,-0.00953788,0.00862121
196,84,-0.027234,0.0272401
93,43,0.0475144,0.0906961
215,108,-0.0288094,-0.00162488
40,38,0.0390797,-0.0445402
140,0,-0.0489199,-0.0122939
69,221,-0.027251,-0.00115516
188,212,0.0033215,0.0583495
100,201,-0.0582721,0.0672824
40,169,-0.00282125,0.0317625
45,175,-0.101971,0.0206165
133,115,-0.0122541,0.109635
149,161,0.0490142,-0.0557043
0,31,0.0452397,0.0710452
12,86,-0.00179296,0.049883
188,156,-0.0459761,-0.00811578
140,175,0.0301292,0.00202938
67,155,0.0458464,-0.000399742
62,104,-0.0110533,-0.0535964
78,127,0.0549873,-0.00461222
219,51,-0.00344279,0.0505488
22,21,-0.0296657,0.00973667
5,174,-0.119311,0.0623623
14,198,-0.0539441,0.0290966
194,221,-0.00676562,-0.0420908
132,86,0.115815,-0.0510874
54,-1,-0.0401909,-0.00415084
54,166,-0.0896839,-0.101814
73,-1,0.00601526,0.00189153
80,16,0.14046,0.0618266
13,45,-2.77607e-05,-0.0306064
24,189,-0.03918,0.0122593
101,31,-0.00946315,-0.0652554
11,96,-0.0619065,0.0449143
113,175,-0.105403,0.00797985
107,78,0.0243321,0.0381843
8,134,-0.020631,0.0466504
164,50,-0.0751927,0.0553387
170,69,-0.0199767,-0.0108577
63,201,0.0601016,-0.0417757
53,77,-0.0519587,0.0242321
65,109,-0.0213792,0.0368249
76,124,0.0763438,0.156102
74,23,0.0496902,-0.0448536
215,17,-0.163114,0.0295811
185,105,-0.0321028,-0.0262882
17,171,0.0311376,0.011995
38,66,0.0281224,-0.0283017
223,105,-0.0139687,0.109114
35,118,0.0462206,0.0518363
66,28,0.175809,-0.0201768
92,212,-0.0408585,-0.0298317
46,223,0.109308,-0.0602862
83,78,-0.0572315,0.0217057
200,49,0.0929015,-0.0277551
203,23,0.0455364,0.0741843
61,69,-0.0214952,0.0948657
223,119,0.0336026,0.0470056
34,58,-0.0017448,0.0150117
-1,32,0.0222504,-0.0620148
88,161,0.0161547,0.0442425
72,-1,-0.0208961,0.00399949
86,18,-0.00599141,-0.029788
45,99,-0.012818,-0.0870849
126,120,-0.0158848,0.0146259
189,43,0.0610859,0.0320673
194,0,-0.110462,0.0930082
154,44,0.0593981,-0.0993936
176,31,-0.0431136,-0.0715892
39,217,-0.0253033,0.0126881
-1,122,-0.0295566,-0.0596058
129,183,-0.104686,-0.0495957
113,176,0.0360871,0.0285537
53,91,-0.0225213,0.0631784
54,148,-0.0702022,-0.0738121
171,75,-0.110133,0.0275749
129,45,0.0751406,0.0278835
10,178,-0.00381104,0.0330116
171,19,0.0270139,-0.012334
91,192,5.94822e-05,-0.0498174
221,147,0.0665632,-0.0651256
128,211,-0.0325174,0.0395678
92,129,0.0231566,-0.0352199
175,207,-0.0419054,-0.0598444
67,97,0.0717148,0.00859136
192,91,0.0651727,-0.0104723
219,146,-0.0646204,0.104158
169,34,-0.00801034,0.0477677
173,74,-0.0598918,-0.00956844
133,74,0.000285631,0.00836675
99,100,-0.0459714,-0.0328924
90,85,-0.0421685,-0.0219329
199,60,-0.0968267,-0.135338
106,129,-0.0891266,-0.0090681
178,-1,-0.00803428,0.000851306
21,115,-0.0531295,0.0520367
186,128,0.024017,-0.0158171
138,218,-0.112835,0.0886761
92,0,-0.00140894,-0.0189456
176,2,0.0362334,-0.0580428
220,69,-0.0380201,-0.0329692
124,69,-0.0733404,-0.0428288
122,149,0.0641795,0.0795919
129,55,-0.049201,-0.00427528
78,59,0.0488029,-0.109429
95,130,-0.0491061,-0.00574479
131,56,0.0451921,-0.0285045
192,210,-0.0477052,0.0176796
62,178,-0.159252,0.0228269
112,17,0.00158401,-0.00403612
191,202,-0.0131828,0.0658243
-1,73,0.0635831,-0.0144214
223,196,0.00615552,0.0311903
122,15,-0.064045,0.0784907
107,53,0.079898,0.152949
162,146,-0.0153703,0.0234883
82,165,0.0252908,-0.0243966
60,47,-0.032446,-0.137059
155,120,0.0183933,-0.0165421
87,37,0.0684254,0.0106801
153,208,-0.0983964,-0.0407927
